SYMBOL,PRICE,STRATEGY,DTE,Strikes,Price Open,Price Mgmt,Price Close,PnL,POP,DELTA,GAMMA,THETA,VEGA,Date Open,Date Close
April 20,,,,,,,,,,,,,,,
C,,SHORT PUT VERTICAL,24,37/37.5,0.16,,-0.11,0.05,72%,1.79,-0.18,0.164,-0.14,4/20/2020,4/24/2020
PYPL,,SHORT IRON CONDOR,3,104/105/119/120,0.22,,-0.12,0.1,75.8%,-4.20,-1.29,5.004,-0.69,4/20/2020,4/23/2020
April 21,,,,,,,,,,,,,,,
NFLX,,SHORT IRON CONDOR,3,415/420/470/475,3.70,,-2.46,1.24,33%,0.79,-0.03,17.517,-1.01,4/21/2020,4/22/2020
SNAP,,SHORT STRANGLE,3,11.5 / 14.5,1.18,,-1.10,0.08,59%,-50.71,-18.14,21.185,-0.88,4/21/2020,4/22/2020
TXN,,SHORT IRON CONDOR,3,99 / 100 / 115 / 116,0.37,,-0.17,0.2,54%,-0.70,-0.46,4.640,-0.48,4/21/2020,4/22/2020
PYPL,,HEDGE - CALL VERTICAL,3,115/116,0.10,,-0.08,0.02,49.3%,-8.37,-0.21,-0.438,-0.02,4/21/2020,4/23/2020
April 22,,,,,,,,,,,,,,,
SBUX,,SHORT IRON CONDOR,9,65 / 70 / 85 / 90,0.87,,-0.63,0.24,67%,-1.52,-3.22,9.267,-3.22,4/22/2020,4/24/2020
TWTR,,SHORT IRON CONDOR,2,25 / 26 / 29.5 / 30,0.11,,0.00,0.11,63%,-1.79,-7.69,2.744,-0.32,4/22/2020,4/24/2020
SPY,,SHORT CALL VERTICAL,2,286/287,0.15,,-0.09,0.06,81%,-3.55,-0.48,4.391,-0.96,4/22/2020,4/23/2020
April 23,,,,,,,,,,,,,,,
PYPL,,ROLL - CALL VERTICAL,15,115/116,0.08,,-0.08,0,51%,-3.23,0.03,0.124,0.01,4/23/2020,4/27/2020
SNAP,,SHORT STRANGLE,8,15 / 17.5,0.56,,-0.50,0.06,63%,4.72,-34.25,6.5,-1.61,4/23/2020,4/24/2020
April 24,,,,,,,,,,,,,,,
HTZ,ROLLD,SHORT STRANGLE,14,3/5,0.53,,-0.35,0.18,56%,-9.28,-36.52,4.307,-0.52,4/23/2020,4/29/2020
April 27,,,,,,,,,,,,,,,
BA,ROLLD,LONG PUT BUTTERFLY,4,138/140/145,-2.58,,1.78,-0.8,77%,-4.23,-0.25,5.337,-0.57,4/27/2020,4/29/2020
